"Overall, how satisfied were you with the event?","... the talks?","... the venue?","... the food?","How did you first hear about our event?","How well did the event meet your expectations?","How likely are you to attend another one of our events?"
4,4,3,3,MENA Devs Slack group,4,4
4,4,2,3,MENA Devs Slack group,4,5
4,4,4,4,MENA Devs Slack group,5,5
4,3,1,2,MENA Devs Slack group,3,4
5,4,5,5,In the media (Facebook),5,5
5,4,4,5,MENA Devs Slack group,5,5
5,5,5,4,In the media (Facebook),5,5
4,3,2,3,MENA Devs Slack group,4,5
3,4,2,1,MENA Devs Slack group,3,5
4,4,3,4,MENA Devs Slack group,4,5
3,4,3,3,MENA Devs Slack group,3,5
4,5,4,4,In the media (Facebook),4,5
3,3,4,3,MENA Devs Slack group,2,4
4,3,5,5,MENA Devs Slack group,4,5
5,4,2,4,MENA Devs Slack group,3,3
